,price,sq_area,furinture,BHK,location,bathrooms
323," 54,000 ",1336 ,Semi-Furnished,3 BHK Apartment in Jayabheri The Summit,"Narsingi, Hyderabad",No Deposit3 bathroomsEast facing
324," 34,000 ",1700 ,Semi-Furnished,3 BHK Apartment in My Home Vihanga,"Gachibowli, Hyderabad",No Deposit3 bathroomsEast facing
325," 49,000 ",2100 ,Semi-Furnished,3 BHK Apartment in Rajapushpa Atria,"Kokapet, Hyderabad",No Deposit3 bathroomsNorthEast facing
326," 34,000 ",1400 ,Semi-Furnished,2 BHK Apartment in Aparna Hill Park Silver Oaks,"Chandanagar, Hyderabad",No Deposit2 bathroomsEast facing
327," 31,000 ",1380 ,Furnished,2 BHK Apartment in Sri Godha Nilayam,"Begumpet, Hyderabad",No Deposit2 bathroomsEast facing
328," 59,000 ",1500 ,Furnished,3 BHK Apartment in Northstar District 1,"Nanakramguda, Hyderabad",No Deposit3 bathroomsEast facing
329," 44,000 ",2100 ,Semi-Furnished,3 BHK Apartment in Aakriti CRR Lakeside Ville,"Tellapur, Hyderabad",No Deposit3 bathroomsEast facing
330," 41,000 ",892 ,Semi-Furnished,2 BHK Apartment in Prestige High Fields,"Gachibowli, Hyderabad",No Deposit2 bathroomsEast facing
331," 29,000 ",2400 ,Semi-Furnished,4 BHK Apartment in Poulomi Indus Crest,"Tellapur, Hyderabad",No Deposit3 bathroomsEast facing
332," 17,000 ",1300 ,Furnished,2 BHK Apartment,"Vanasthalipuram, Hyderabad",No Deposit2 bathrooms
333," 16,000 ",1200 ,Semi-Furnished,1 BHK Apartment in Legend DD Colony 2,"Amberpet, Hyderabad",No Deposit2 bathrooms
334," 22,500 ",1400 ,Semi-Furnished,1 BHK Apartment,"Puppalaguda, Hyderabad",No Deposit2 bathrooms
335," 7,200 ",180 ,Furnished,1 BHK Apartment,"Pocharam, Hyderabad",No Deposit1 bathrooms
336," 32,000 ",1450 ,Semi-Furnished,3 BHK Apartment in Prajay Megapolis,"Kukatpally, Hyderabad",No Deposit3 bathroomsEast facing
337," 70,000 ",2300 ,Semi-Furnished,3 BHK Apartment in Rajapushpa Eterna,"Nanakramguda, Hyderabad",No Deposit3 bathroomsWest facing
338," 55,000 ",2218 ,Semi-Furnished,3 BHK Apartment,"Nanakramguda, Hyderabad",No Deposit3 bathroomsEast facing
339," 45,000 ",1845 ,Semi-Furnished,3 BHK Apartment,"Narsingi, Hyderabad",No Deposit3 bathroomsEast facing
340," 50,000 ",2160 ,Semi-Furnished,3 BHK Apartment in My Home Krishe,"Gachibowli, Hyderabad",No Deposit3 bathroomsEast facing
341," 50,000 ",1745 ,Semi-Furnished,3 BHK Apartment in Sumadhura Acropolis,"Nanakramguda, Hyderabad",No Deposit3 bathroomsEast facing
342," 35,000 ",1750 ,Semi-Furnished,3 BHK Apartment in Kalpataru Residency,"Sanath Nagar, Hyderabad",No Deposit3 bathroomsEast facing
343," 40,000 ",1670 ,Semi-Furnished,3 BHK Apartment in Crown Whistling Woods,"Kokapet, Hyderabad",No Deposit3 bathroomsWest facing
344," 35,000 ",1745 ,Semi-Furnished,3 BHK Apartment in Vaishnavi Fresh Living Apartments,"Madhapur, Hyderabad",No Deposit3 bathrooms
345," 30,000 ",1800 ,Semi-Furnished,3 BHK Apartment,"Himayat Nagar, Hyderabad",No Deposit3 bathroomsNorth facing
346," 35,000 ",1963 ,Semi-Furnished,3 BHK Apartment,"Banjara Hills, Hyderabad",No Deposit3 bathroomsEast facing
347," 29,610 ",1410 ,Semi-Furnished,3 BHK Apartment,"Somajiguda, Hyderabad",No Deposit2 bathroomsNorthEast facing
348," 13,800 ",1150 ,Semi-Furnished,2 BHK Apartment in Reputed Builder Sai Krupa Residency,"Kukatpally, Hyderabad",No Deposit2 bathroomsNorthEast facing
349," 40,000 ",2045 ,Semi-Furnished,3 BHK Apartment in Manbhum Around The Grove,"Hitech City, Hyderabad",No Deposit3 bathroomsNorthEast facing
350," 38,000 ",1670 ,Semi-Furnished,3 BHK Apartment in Aparna Sarovar Zenith,"Nallagandla Gachibowli, Hyderabad",No Deposit3 bathroomsEast facing
351," 40,000 ",1475 ,Semi-Furnished,3 BHK Apartment,"Serilingampally, Hyderabad",No Deposit3 bathroomsWest facing
352," 38,000 ",1545 ,Semi-Furnished,3 BHK Apartment in Trend Set Rythme,"Hitech City, Hyderabad",No Deposit3 bathroomsEast facing
353," 38,000 ",1600 ,Semi-Furnished,3 BHK Independent Floor,"Kondapur, Hyderabad",No Deposit3 bathroomsWest facing
354," 50,000 ",2000 ,Semi-Furnished,3 BHK Apartment,"Banjara Hills, Hyderabad",No Deposit3 bathroomsEast facing
355," 18,000 ",1100 ,Semi-Furnished,2 BHK Apartment in SV DD Colony,"Nallakunta, Hyderabad",No Deposit2 bathroomsEast facing
356," 25,000 ",1650 ,Semi-Furnished,3 BHK Apartment,"Mahendra Hills, Hyderabad",No Deposit3 bathroomsNorthEast facing
357, 1 L,7000 ,Semi-Furnished,10 BHK Independent House,"Habsiguda, Hyderabad",No Deposit9 bathrooms
358," 40,000 ",3500 ,Furnished,3 BHK Independent Floor,"Habsiguda, Hyderabad",No Deposit4 bathrooms
