,sq_area,furinture,Price_in_rupees,BHK_,House_Type,Location,Locality,No_of_Bathrooms,Facing
238,2000,Furnished,50000,3,Apartment, Hyderabad,Shaikpet,3,
239,2500,Semi-Furnished,50000,3,Apartment, Hyderabad,Banjara Hills,3,NorthEast facing
240,550,Semi-Furnished,12000,1,Apartment, Hyderabad,Jubilee Hills,1,NorthEast facing
241,2000,Furnished,50000,3,Apartment, Hyderabad,Shaikpet,3,East facing
242,2500,Semi-Furnished,75000,3,Apartment, Hyderabad,Jubilee Hills,3,North facing
243,1070,Semi-Furnished,21500,2,Apartment, Hyderabad,Jubilee Hills,2,North facing
244,2000,Furnished,52000,3,Apartment, Hyderabad,Banjara Hills,2,NorthEast facing
245,2000,Furnished,50000,3,Apartment, Hyderabad,Shaikpet,3,
246,2500,Semi-Furnished,50000,3,Apartment, Hyderabad,Banjara Hills,3,NorthEast facing
247,1000,Semi-Furnished,25000,2,Apartment, Hyderabad,Jubilee Hills,2,NorthEast facing
248,2500,Semi-Furnished,65000,3,Apartment, Hyderabad,Banjara Hills,3,NorthEast facing
249,2200,Furnished,40000,3,Apartment, Hyderabad,Banjara Hills,3,NorthEast facing
250,1000,Unfurnished,10000,2,Independent Floor, Hyderabad,LB Nagar,2,East facing
251,2450,Furnished,90000,3,Apartment, Hyderabad,Banjara Hills,3,East facing
252,1000,Unfurnished,13000,2,Independent Floor, Hyderabad,Habsiguda,2,
253,1100,Unfurnished,12000,2,Independent Floor, Hyderabad,Habsiguda,2,
254,600,Unfurnished,14500,1,Apartment, Hyderabad,Adikmet,1,
255,200,Unfurnished,6700,1,Studio Apartment, Hyderabad,Adikmet,1,
256,7000,Furnished,250000,5,Villa, Hyderabad,Jubilee Hills,6,NorthEast facing
257,4000,Semi-Furnished,80000,4,Apartment, Hyderabad,Narsingi,4,
258,1200,Unfurnished,22000,1,Apartment, Hyderabad,Whisper Valley,2,
259,700,Semi-Furnished,13000,1,Studio Apartment, Hyderabad,Hafeezpet,1,
260,2240,Unfurnished,45000,3,Apartment, Hyderabad,Gandipet,3,
261,2000,Semi-Furnished,45000,3,Apartment, Hyderabad,Shaikpet,3,East facing
262,2400,Furnished,75000,3,Apartment, Hyderabad,Kondapur,3,West facing
263,2500,Semi-Furnished,45000,3,Apartment, Hyderabad,Tellapur,3,
264,800,Semi-Furnished,10000,1,Apartment, Hyderabad,Nallakunta,1,East facing
265,800,Unfurnished,9500,1,Independent House, Hyderabad,Uppal,1,
266,1000,Semi-Furnished,18000,2,Apartment, Hyderabad,Nagaram,2,
267,700,Unfurnished,12000,1,Independent House, Hyderabad,Malkajgiri,2,
268,2200,Semi-Furnished,47000,3,Apartment, Hyderabad,Kukatpally,3,East facing
269,1000,Unfurnished,11000,1,Apartment, Hyderabad,Alwal,2,
270,2000,Furnished,62000,2,Apartment, Hyderabad,Manchirevula,3,
271,1200,Semi-Furnished,24000,2,Apartment, Hyderabad,Hyderguda,2,
272,1500,Semi-Furnished,35000,3,Apartment, Hyderabad,Kukatpally,3,East facing
273,3000,Semi-Furnished,30000,4,Apartment, Hyderabad,Tellapur,3,East facing
274,1250,Semi-Furnished,34000,2,Independent Floor, Hyderabad,Madhapur,2,East facing
275,878,Semi-Furnished,34000,2,Apartment, Hyderabad,Hitech City,2,East facing
276,2160,Furnished,64000,3,Apartment, Hyderabad,Kokapet,3,East facing
277,1200,Semi-Furnished,21000,3,Apartment, Hyderabad,Bandlaguda Jagir,3,East facing
278,2800,Furnished,70000,4,Independent House, Hyderabad,Manikonda,4,West facing
279,1515,Semi-Furnished,35000,3,Apartment, Hyderabad,Kokapet,3,West facing
280,700,Unfurnished,20000,1,Apartment, Hyderabad,Himayat Nagar,2,
281,1100,Unfurnished,14000,1,Independent House, Hyderabad,Bandlaguda Jagir,2,
282,700,Semi-Furnished,16000,1,Studio Apartment, Hyderabad,Hafeezpet,1,
283,1500,Semi-Furnished,15000,2,Apartment, Hyderabad,Vanasthalipuram,2,
284,1900,Semi-Furnished,30000,3,Apartment, Hyderabad,Kondapur,3,East facing
285,1800,Semi-Furnished,23000,2,Apartment, Hyderabad,Nagaram,3,
286,1200,Semi-Furnished,26000,2,Apartment, Hyderabad,Jubilee Hills,2,
287,1600,Furnished,61000,4,Apartment, Hyderabad,Hitech City,4,West facing
288,2000,Semi-Furnished,44000,2,Independent House, Hyderabad,Kukatpally,2,North facing
289,1800,Semi-Furnished,35000,3,Independent Floor, Hyderabad,Vijaya Nagar Colony,3,West facing
290,4000,Semi-Furnished,74000,4,Apartment, Hyderabad,Kondapur,4,North facing
291,1400,Semi-Furnished,44000,2,Apartment, Hyderabad,Kukatpally,2,East facing
292,2500,Furnished,69000,4,Apartment, Hyderabad,Manikonda,4,West facing
293,2000,Semi-Furnished,35000,3,Independent Floor, Hyderabad,Mahendra Hills,3,East facing
294,1000,Furnished,40000,3,Apartment, Hyderabad,West Marredpally,2,North facing
295,1100,Semi-Furnished,20000,2,Independent Floor, Hyderabad,Mahendra Hills,2,NorthEast facing
296,1800,Semi-Furnished,39000,3,Apartment, Hyderabad,Nallagandla Gachibowli,3,West facing
297,1300,Semi-Furnished,39000,2,Apartment, Hyderabad,Hitech City,2,East facing
298,1950,Semi-Furnished,44000,3,Apartment, Hyderabad,Hitech City,3,NorthEast facing
299,1800,Semi-Furnished,49000,3,Apartment, Hyderabad,Kokapet,3,West facing
300,3500,Semi-Furnished,44000,3,Apartment, Hyderabad,Madhapur,3,East facing
301,2200,Furnished,64000,3,Apartment, Hyderabad,Kukatpally,3,West facing
302,2500,Semi-Furnished,69000,3,Apartment, Hyderabad,Banjara Hills,3,East facing
303,1050,Semi-Furnished,15000,2,Apartment, Hyderabad,Hyderguda,2,
304,1400,Semi-Furnished,44000,3,Apartment, Hyderabad,Sanath Nagar,3,East facing
305,1798,Furnished,64000,3,Apartment, Hyderabad,Kondapur,3,West facing
306,1450,Semi-Furnished,44000,3,Apartment, Hyderabad,Kothaguda,3,East facing
307,1800,Semi-Furnished,30000,3,Apartment, Hyderabad,Nallakunta,3,
308,2600,Semi-Furnished,41000,3,Apartment, Hyderabad,Nallakunta,3,North facing
309,700,Semi-Furnished,12000,1,Studio Apartment, Hyderabad,Hafeezpet,1,
310,550,Unfurnished,6500,1,Studio Apartment, Hyderabad,Boduppal,1,
311,1000,Unfurnished,11000,1,Apartment, Hyderabad,Bandlaguda Jagir,2,
312,700,Semi-Furnished,12000,1,Studio Apartment, Hyderabad,Hafeezpet,1,
313,800,Unfurnished,13200,1,Studio Apartment, Hyderabad,Attapur,1,
314,500,Unfurnished,9000,1,Apartment, Hyderabad,Alwal,1,
315,1870,Semi-Furnished,45000,3,Apartment, Hyderabad,Hitech City,3,East facing
316,2100,Semi-Furnished,35000,3,Apartment, Hyderabad,Kukatpally,3,East facing
317,1475,Semi-Furnished,38000,3,Apartment, Hyderabad,Hitech City,3,East facing
318,1800,Semi-Furnished,38000,3,Apartment, Hyderabad,Madhapur,3,NorthEast facing
319,2300,Semi-Furnished,48000,3,Apartment, Hyderabad,Nanakramguda,3,West facing
